time,running_objective,current_value,episode_id,iteration_id,throttle action [Âµm],jet length [mm],jet velocity [mm/s]
0.0,3.710643090512779,0.003710643090512779,1,1,20.0,0.0,0.0
0.0009999999999997715,2.919688132979459,0.006630331223492238,1,1,17.729521911215976,0.2175934657292863,432.4820326991285
0.0019999000000002366,1.3475379087301396,0.007977869132222377,1,1,12.012727901140824,0.7654679542159297,645.49773056082
0.0029998999999986346,0.26189677577316983,0.008239765907995546,1,1,5.239942019595776,1.414544446029612,651.6867179684142
0.0039998999999974385,0.003985574574511508,0.008243751482570057,1,1,-0.7587443987417775,1.989434366367192,509.3204578658029
0.004999800000000173,0.20738945856043203,0.008451140941130489,1,1,-4.8518727753597535,2.3817032869715673,292.8241793206595
0.005999700000002908,0.3955682327671232,0.008846709173897613,1,1,-6.662694217044258,2.555245112924205,72.42582270916787
0.006999600000005642,0.4125691359164911,0.009259278309814104,1,1,-6.802237808309086,2.56861840808773,2.192204422541966
0.007999500000006755,0.41395545762520397,0.009673233767439308,1,1,-6.813488850523348,2.5696966626106703,1.793389453949267
0.008999500000000816,0.4152679745335968,0.010088501741972905,1,1,-6.824123562389368,2.570715850518006,0.942401239876752
0.009999499999994877,0.41648208026290107,0.010504983822235806,1,1,-6.833945941058928,2.5716571876870247,2.423280499381524
